Reference
paragraph 1
this Regulation
this Article
paragraph 1
paragraph 3 of this Article
Article 42(5)
Chapter VIII
paragraph 1 of this Article
this Regulation
Article 92
Article 42(1)
Article 93(2)
this Regulation
this Chapter
this Chapter
this Regulation
paragraph 2 of this Article
point (b) of paragraph 2 of this Article
Article 93(2)
paragraph 3 of this Article
Article 25(6) of Directive 95/46/EC
paragraph 3 of this Article
paragraph 2 of this Article
paragraph 3 of this Article
Article 93(2)
Article 93(3)
paragraph 5
paragraph 5 of this Article
Articles 46 to 49
Article 25(6) of Directive 95/46/EC
paragraph 3 or 5 of this Article
Article 45(3)
paragraph 1
Article 47
Article 93(2)
Article 93(2)
Article 40
Article 42
paragraph 1
Article 63
paragraph 3 of this Article
Article 26(2) of Directive 95/46/EC
Article 26(4) of Directive 95/46/EC
paragraph 2 of this Article
Article 63
paragraph 2
paragraph 1
Article 22
Article 79
points (d), (e) and (f) of this paragraph
Articles 13 and 14
Article 37
point (h)
point (j)
this Article
Article 93(2)
this Chapter
Article 45(3)
Article 46
Article 45 or 46
the first subparagraph of this paragraph
Articles 13 and 14
point (g) of the first subparagraph of paragraph 1
Points (a), (b) and (c) of the first subparagraph of paragraph 1
the second subparagraph thereof
point (d) of the first subparagraph of paragraph 1
the second subparagraph of paragraph 1 of this Article
Article 30
this Regulation
this Regulation
Chapter VII
Article 63
this Chapter
this Regulation
this Regulation
this Regulation
this Regulation
point (c) or (e) of Article 6(1)
Article 56
Article 55
Article 60
paragraph 1
this Regulation
paragraph 2 of this Article
Article 60
Article 60
Article 60(3)
Articles 61 and 62
this Regulation
this Regulation
this Regulation
this Regulation
Article 80
this Regulation
this Regulation
Article 28(8)
point (d) of Article 46(2)
Article 35(4)
Article 36(2)
Article 40(1)
Article 40(5)
Article 42(1)
Article 42(5)
Article 42(7)
Article 41
Article 43
Article 41
Article 43
Article 46(3)
Article 47
this Regulation
Article 58(2)
point (f) of paragraph 1
Article 42(7)
this Regulation
this Regulation
this Regulation
this Regulation
this Regulation
Articles 16, 17 and 18
Article 17(2)
Article 19
Articles 42 and 43
Article 83
this paragraph
Article 36
Article 36(5)
Article 40(5)
Article 43
Article 42(5)
Article 28(8)
point (d) of Article 46(2)
point (a) of Article 46(3)
point (b) of Article 46(3)
Article 47
this Article
this Regulation
this Regulation
paragraphs 1, 2 and 3
Chapter VII
Article 58(2)
this Article
Article 61
Article 62
paragraph 3 of this Article
Article 63
paragraph 4
paragraphs 4 and 5
paragraph 7
paragraphs 7 and 9
Article 66
this Article
this Regulation
this Regulation
paragraph 4
paragraph 5 of this Article
Article 55(1)
Article 66(1)
Article 66(2)
this Article
paragraph 6 of this Article
Article 93(2)
Article 56(1) or (4)
paragraph 1
paragraph 5
paragraph 1
paragraph 4
the second sentence of paragraph 2 of this Article
Article 55
Article 66(1)
Article 66(2)
this Regulation
this Section
Article 35(4)
Article 40(7)
this Regulation
Article 41(3)
Article 43(3)
point (d) of Article 46(2)
Article 28(8)
point (a) of Article 46(3)
Article 47
Article 61
Article 62
paragraphs 1 and 2
paragraph 1
paragraph 5
paragraphs 1 and 2
paragraph 1
paragraph 3
paragraph 1
paragraph 7 of this Article
Article 65(1)
this Regulation
Article 60(4)
this Regulation
Article 64(1)
Article 64
paragraph 1
paragraph 1
paragraph 2
paragraph 2
paragraph 1
paragraphs 2 and 3
paragraph 1
paragraph 6
paragraph 1 of this Article
Article 60(7), (8) and (9)
paragraph 1 of this Article
that paragraph
paragraph 5 of this Article
paragraph 1 of this Article
Articles 63, 64 and 65
Article 60
paragraph 1
Article 64(3)
Article 65(2)
paragraphs 2 and 3 of this Article
Article 64
Article 93(2)
this Regulation
Article 65
this Regulation
Articles 70 and 71
point (b) of Article 70(1)
Article 70(2)
this Regulation
this Regulation
Articles 64 and 65
this Regulation
Article 17(2)
this Regulation
this Regulation
point (e) of this paragraph
Article 22(2)
point (e) of this paragraph
Article 33(1) and (2)
point (e) of this paragraph
Article 34(1)
point (e) of this paragraph
Article 47
point (e) of this paragraph
Article 49(1)
Article 58(1), (2) and (3)
Article 83
points (e) and (f)
point (e) of this paragraph
this Regulation
Article 54(2)
Articles 40 and 42
Article 43
Article 43(6)
Article 42(7)
Article 43(3)
Article 42
Article 43(8)
Article 12(7)
Article 64(1)
Article 64(2)
Article 65
Article 66
Article 40(9)
Article 93
Article 76
point (l) of Article 70(1)
Article 65
this Regulation
Article 65
Article 63
this Regulation
this Article
this Regulation
Regulation (EC) No 1049/2001 of the European Parliament and of the Council
this Regulation
Article 78
Articles 55 and 56
Article 77
Article 77
this Regulation
this Regulation
Articles 77, 78 and 79
Article 82
paragraph 1 of this Article
Article 77
Articles 78 and 79
this Regulation
this Regulation
this Regulation
this Regulation
paragraph 2
paragraphs 2 and 3
paragraph 4
paragraph 2
Article 79(2)
this Article
this Regulation
paragraphs 4, 5 and 6
points (a) to (h) and (j) of Article 58(2)
Articles 25 and 32
Article 58(2)
Article 40
Article 42
this Regulation
paragraph 2
Articles 8, 11, 25 to 39 and 42 and 43
Articles 42 and 43
Article 41(4)
paragraph 2
Articles 5, 6, 7 and 9
Articles 12 to 22
Articles 44 to 49
Chapter IX
Article 58(2)
Article 58(1)
Article 58(2)
paragraph 2 of this Article
Article 58(2)
this Article
this Article
this paragraph
this Regulation
Article 83
paragraph 1
this Regulation
Chapter II
Chapter III
Chapter IV
Chapter V
Chapter VI
Chapter VII
Chapter IX
paragraph 2
this Regulation
this Regulation
paragraph 1
this Regulation
Articles 15, 16, 18 and 21
paragraph 1 of this Article
Articles 15, 16, 18, 19, 20 and 21
paragraph 1 of this Article
paragraphs 2 and 3
those paragraphs
points (e) and (f) of Article 58(1)
paragraph 1
this Regulation
this Regulation
paragraph 1 of this Article
Chapter VI of this Regulation
this Article
Article 12(8)
Article 43(8)
Article 12(8)
Article 43(8)
Article 12(8)
Article 43(8)
Regulation (EU) No 182/2011
this paragraph
Article 5 of Regulation (EU) No 182/2011
this paragraph
Article 8 of Regulation (EU) No 182/2011
Article 5 thereof
Directive 95/46/EC
the repealed Directive
this Regulation
Article 29 of Directive 95/46/EC
this Regulation
This Regulation
Directive 2002/58/EC
this Regulation
paragraph 1
Chapter V
Article 45(3) of this Regulation
Article 25(6) of Directive 95/46/EC
Chapter VII
paragraph 1
paragraphs 1 and 2
this Regulation
This Regulation
